calendar_date,date_source,video_id,video_url,title,transcript_path,channel,slug,asset,weight_pct,size,instrument,confidence
,,-gjdC4MAeFg,https://www.youtube.com/watch?v=-gjdC4MAeFg,The Bitcoin Opportunity,youtube/transcripts-top/crypto-currently/undated-the-bitcoin-opportunity.md,crypto-currently,crypto-currently,SOL,,small,spot,0.9
,,-gjdC4MAeFg,https://www.youtube.com/watch?v=-gjdC4MAeFg,The Bitcoin Opportunity,youtube/transcripts-top/crypto-currently/undated-the-bitcoin-opportunity.md,crypto-currently,crypto-currently,USD,,medium,cash,0.7
,,0HKX7g1JfIw,https://www.youtube.com/watch?v=0HKX7g1JfIw,The Bitcoin Left-Translated Cycle,youtube/transcripts-top/crypto-currently/undated-the-bitcoin-left-translated-cycle.md,crypto-currently,crypto-currently,USD,,medium,cash,0.7
,,0OLdoztci8c,https://www.youtube.com/watch?v=0OLdoztci8c,Here We Go Again,youtube/transcripts-top/crypto-currently/undated-here-we-go-again.md,crypto-currently,crypto-currently,BTC,80.0,large,spot,0.9
,,0OLdoztci8c,https://www.youtube.com/watch?v=0OLdoztci8c,Here We Go Again,youtube/transcripts-top/crypto-currently/undated-here-we-go-again.md,crypto-currently,crypto-currently,SOL,13.0,medium,spot,0.9
,,0OLdoztci8c,https://www.youtube.com/watch?v=0OLdoztci8c,Here We Go Again,youtube/transcripts-top/crypto-currently/undated-here-we-go-again.md,crypto-currently,crypto-currently,ETH,15.0,small,spot,0.9
,,0OLdoztci8c,https://www.youtube.com/watch?v=0OLdoztci8c,Here We Go Again,youtube/transcripts-top/crypto-currently/undated-here-we-go-again.md,crypto-currently,crypto-currently,USD,10.0,small,cash,0.7
,,0iniqdANXgg,https://www.youtube.com/watch?v=0iniqdANXgg,This Changes Everything,youtube/transcripts-top/crypto-currently/undated-this-changes-everything-0iniqdANXgg.md,crypto-currently,crypto-currently,BTC,,medium,spot,0.9
,,0iniqdANXgg,https://www.youtube.com/watch?v=0iniqdANXgg,This Changes Everything,youtube/transcripts-top/crypto-currently/undated-this-changes-everything-0iniqdANXgg.md,crypto-currently,crypto-currently,ETH,,medium,spot,0.9
,,0iniqdANXgg,https://www.youtube.com/watch?v=0iniqdANXgg,This Changes Everything,youtube/transcripts-top/crypto-currently/undated-this-changes-everything-0iniqdANXgg.md,crypto-currently,crypto-currently,SOL,,small,spot,0.9
,,0iniqdANXgg,https://www.youtube.com/watch?v=0iniqdANXgg,This Changes Everything,youtube/transcripts-top/crypto-currently/undated-this-changes-everything-0iniqdANXgg.md,crypto-currently,crypto-currently,USD,,small,cash,0.5
2026-04-22,portfolio,1BgPQN887g0,https://www.youtube.com/watch?v=1BgPQN887g0,It's Time To Pay Attention,youtube/transcripts-top/crypto-currently/undated-it-s-time-to-pay-attention.md,crypto-currently,crypto-currently,BTC,,tiny,spot,0.9
2026-04-22,portfolio,1BgPQN887g0,https://www.youtube.com/watch?v=1BgPQN887g0,It's Time To Pay Attention,youtube/transcripts-top/crypto-currently/undated-it-s-time-to-pay-attention.md,crypto-currently,crypto-currently,USD,,medium,cash,0.85
2026-04-22,portfolio,1BgPQN887g0,https://www.youtube.com/watch?v=1BgPQN887g0,It's Time To Pay Attention,youtube/transcripts-top/crypto-currently/undated-it-s-time-to-pay-attention.md,crypto-currently,crypto-currently,USD,,medium,cash,0.85
,,29IHIoFyHEg,https://www.youtube.com/watch?v=29IHIoFyHEg,The Cycle Top,youtube/transcripts-top/crypto-currently/undated-the-cycle-top.md,crypto-currently,crypto-currently,BTC,,medium,spot,0.9
,,29IHIoFyHEg,https://www.youtube.com/watch?v=29IHIoFyHEg,The Cycle Top,youtube/transcripts-top/crypto-currently/undated-the-cycle-top.md,crypto-currently,crypto-currently,USD,,medium,cash,0.9
,,2POWCx6fwS4,https://www.youtube.com/watch?v=2POWCx6fwS4,The Breakout,youtube/transcripts-top/crypto-currently/undated-the-breakout.md,crypto-currently,crypto-currently,BTC,,small,spot,0.9
,,2POWCx6fwS4,https://www.youtube.com/watch?v=2POWCx6fwS4,The Breakout,youtube/transcripts-top/crypto-currently/undated-the-breakout.md,crypto-currently,crypto-currently,USD,,medium,cash,0.7
2026-03-26,portfolio,2UrmYOUvW-w,https://www.youtube.com/watch?v=2UrmYOUvW-w,I Can't Believe It,youtube/transcripts-top/crypto-currently/undated-i-can-t-believe-it.md,crypto-currently,crypto-currently,BTC,,medium,spot,0.9
2026-03-26,portfolio,2UrmYOUvW-w,https://www.youtube.com/watch?v=2UrmYOUvW-w,I Can't Believe It,youtube/transcripts-top/crypto-currently/undated-i-can-t-believe-it.md,crypto-currently,crypto-currently,USD,,medium,cash,0.9
